noise_std,method,samples,mse_mean,mse_std,mse_ci_low,mse_ci_high,psnr_mean,psnr_std,psnr_ci_low,psnr_ci_high,gfc_mean,gfc_std,gfc_ci_low,gfc_ci_high
0.01,No Denoise,200,0.0013575474746085091,0.004417276412593397,0.0007453554472662279,0.0019697395019507903,35.671632418214756,7.75054908590104,34.59748085631874,36.74578398011077,0.9968209654092789,0.014439466889589662,0.9948197941708936,0.9988221366476642
0.01,Wavelet,200,0.0006835725818882566,0.0031689010605079064,0.00024439337201389097,0.0011227517917626222,39.443225657077576,7.812977509726347,38.3604221160488,40.52602919810635,0.9982139751315117,0.011663011150866886,0.9965975939557697,0.9998303563072536
0.01,S-G Filter,200,0.0006097953199309813,0.002439585853179492,0.0002716921835558984,0.0009478984563060643,39.55981874122781,7.760532868734097,38.48428352305081,40.6353539594048,0.9984343931078911,0.009327543105499015,0.9971416853417213,0.9997271008740608
0.01,Wiener,200,0.00045841109591947314,0.001711132364069546,0.0002212646071862243,0.0006955575846527219,39.384505781811015,6.580720476398027,38.47248121428939,40.29653034933264,0.9987837484478951,0.007043257720986356,0.9978076206667555,0.9997598762290346
0.01,DnResUnet,200,0.00017991831341532816,0.00043862136345316577,0.00011912961091020693,0.0002407070159204494,41.766049495809,5.378287637802582,41.02067055524068,42.51142843637732,0.9996526011824608,0.0009494618198784995,0.9995210149057364,0.9997841874591852
0.01,BasicCNN,200,0.0004983826862007845,0.001488973111286527,0.0002920253332722009,0.0007047400391293681,38.52960862583675,6.421440415252317,37.63965874290358,39.419558508769924,0.9986926999688148,0.006613844521999266,0.9977760847271455,0.9996093152104841
0.01,DnCNN,200,0.00031528508042811155,0.0008745616023362757,0.0001940792534973889,0.0004364909073588342,41.08986436219801,6.842192923864196,40.14160222818584,42.038126496210175,0.9992007756233215,0.003459551880078887,0.9987213150052078,0.9996802362414353
0.01,UNet1D,200,0.0003621261976695678,0.0006358770175408359,0.00027399975862697664,0.0004502526367121589,36.630883005657225,3.8474229168905194,36.097667192216306,37.16409881909814,0.9994732359051705,0.001372532440974156,0.9992830161092714,0.9996634557010695
0.01,TCN,200,0.00018464650476289533,0.0004899671781661079,0.00011674176616027247,0.0002525512433655182,43.07663856155288,6.5196582691089935,42.17307662869177,43.980200494414,0.9996197655797004,0.0011501593092779427,0.9994603645611665,0.9997791665982344
0.05,No Denoise,200,0.00933563043581671,0.012466682483983861,0.007607868142666073,0.011063392728967347,23.967220383283586,5.957837990906143,23.141521337638324,24.792919428928847,0.9664571292698383,0.07092748792678417,0.9566272615929137,0.9762869969467629
0.05,Wavelet,200,0.004330219914463669,0.008053315094510736,0.0032141078956461275,0.00544633193328121,28.75670604995816,6.850206972581349,27.80733324586943,29.706078854046893,0.9814554208517074,0.05674310579744683,0.9735913721186915,0.9893194695847234
0.05,S-G Filter,200,0.004011427289224229,0.006392829929415208,0.0031254425444648677,0.0048974120339835905,28.27939168956178,6.380417533710001,27.395127183470137,29.163656195653424,0.982994540631771,0.04737502715116266,0.9764288175010244,0.9895602637625177
0.05,Wiener,200,0.0031633441162739473,0.005126730149578527,0.00245282862420298,0.0038738596083449147,29.454222790609595,6.448005434751781,28.560591251464597,30.347854329754593,0.9853524315357208,0.04507947108672405,0.9791048503978457,0.991600012673596
0.05,DnResUnet,200,0.0008190913643556997,0.0015253379083680115,0.0006076942002924231,0.001030488528418976,34.84966602697793,5.775680075863676,34.04921231644196,35.6501197375139,0.9966074472665787,0.012445834239341718,0.9948825743396261,0.9983323201935312
0.05,BasicCNN,200,0.002882139407010982,0.004101954814843485,0.002313647920490866,0.0034506308935310977,29.06607692420284,5.862067173828985,28.25365079272241,29.878503055683268,0.9871195432543755,0.034006090709369094,0.9824066261378458,0.9918324603709051
0.05,DnCNN,200,0.001537092754369951,0.002420918522795509,0.0012015767304518242,0.0018726087782880776,32.090531419133306,5.998811516813925,31.259153836862776,32.92190900140384,0.9927413079142571,0.022844060015416126,0.9895753409003532,0.995907274928161
0.05,UNet1D,200,0.0009142954136041226,0.0013387512158643815,0.0007287573706121999,0.0010998334565960452,33.13000450630884,4.728924552078642,32.47462104413015,33.785387968487534,0.9965775808691979,0.011157114489041326,0.9950313121052909,0.9981238496331049
0.05,TCN,200,0.0008656864801923803,0.00154359793001461,0.0006517586527458309,0.0010796143076389297,34.53624867639118,5.728786100591687,33.742294019822054,35.33020333296031,0.9969701179862023,0.009318208109144117,0.9956787039607474,0.9982615320116571
0.2,No Denoise,200,0.03300751166883856,0.022274342866060042,0.0299205019725437,0.036094521365133414,15.958795989007644,3.398712273669045,15.487767155213433,16.429824822801855,0.7760840535303578,0.2409073597714207,0.7426966104082382,0.8094714966524774
0.2,Wavelet,200,0.014536651771632023,0.01617242600691547,0.01229530906643239,0.016777994476831655,20.863605341016832,4.9302936724916995,20.180314055429506,21.54689662660416,0.8614712028997019,0.2089157430187825,0.8325174901780434,0.8904249156213604
0.2,S-G Filter,200,0.013717825254425407,0.012583414442245318,0.011973885034536932,0.015461765474313882,20.2820754764213,3.9487555383923016,19.734815936213316,20.829335016629287,0.8585007957927883,0.20390928379229245,0.8302409301699741,0.8867606614156024
0.2,Wiener,200,0.011172886074054986,0.009343964577780493,0.009877902449761595,0.012467869698348377,21.104616064928504,3.967649891353536,20.554737949117758,21.65449418073925,0.8684230120386929,0.19965187329359516,0.8407531825650758,0.89609284151231
0.2,DnResUnet,200,0.0018930518176421174,0.0022401773748255346,0.0015825847785428844,0.0022035188567413504,29.253369834927206,4.178372726734286,28.674287560773262,29.83245210908115,0.9662446255981922,0.11055768072487422,0.9509223943454088,0.9815668568509757
0.2,BasicCNN,200,0.008708916784962639,0.007302976799987577,0.007696794437338663,0.009721039132586614,21.924361829892522,3.4908904869617428,21.440557982265904,22.40816567751914,0.8808097710460424,0.18239464289387317,0.8555316277332912,0.9060879143587937
0.2,DnCNN,200,0.0044923348452721255,0.00451997256667564,0.0038659101186609857,0.005118759571883265,25.140617585752384,3.81953822850523,24.611266321938864,25.669968849565905,0.9252995772659779,0.15114268451578775,0.9043526548166871,0.9462464997152686
0.2,UNet1D,200,0.0020898281507106733,0.002637202775928364,0.0017243372094362028,0.002455319091985144,28.840956984139765,4.111518866217849,28.27114001208205,29.41077395619748,0.962280474677682,0.11771103582167171,0.9459668572063403,0.9785940921490236
0.2,TCN,200,0.0020021827477103215,0.002206270806563173,0.0016964148328736267,0.0023079506625470164,28.86931967605182,4.086882999942212,28.30291699812286,29.43572235398078,0.9625462977588177,0.12114406240031247,0.9457568958210328,0.9793356996966026
